correct_sentence,incorrect_sentence,error_in_sentence
"The sun rises in the east.", "The sun rises in the west.", "directional error"
"I have three siblings.", "I have three sibling.", "plural error"
"He drives a red sports car.", "He drive a red sports car.", "subject-verb agreement error"
"My favorite color is blue.", "My favorite color is blew.", ""spelling error""
"We went to the beach yesterday.", "We go to the beach yesterday.", "verb tense error"
"The sky is blue on a clear day.", "The sky is blew on a clear day.", "spelling error"
"She always brings her umbrella when it rains.", "She always brings her umbrella when it rain.", "subject-verb agreement error"
"I am allergic to peanuts.", "I am allergic to peanut.", "plural error"
"He is a talented musician.", "He is a talent musician.", "article error"
"We visited the Grand Canyon last summer.", "We visit the Grand Canyon last summer.", "verb tense error"
"She speaks Spanish fluently.", "She speak Spanish fluently.", "subject-verb agreement error"
"The dog barked at the mailman.", "The dog bark at the mailman.", "verb tense error"
"I enjoy reading books.", "I enjoy reading book.", "plural error"
"She has a beautiful singing voice.", "She have a beautiful singing voice.", subject-verb agreement error
"He is always punctual.", "He is always punctuals.", "plural error"
"The movie was very entertaining.", "The movie was very entertain.", "verb tense error"
"I am wearing a red sweater today.", "I am wearing a red sweatshirt today.", "clothing item error"
"She plays the piano beautifully.", "She plays the piano beautifuly.", "spelling error"
"They are planning a trip to Europe.", "They are planning a trip to Europ.", "spelling error"
"The flowers in the garden are blooming.", "The flowers in the garden is blooming.", "subject-verb agreement error"
"He ordered a cheeseburger and fries.", "He ordered a cheeseburgers and fries.", "plural error"
"She is a kind and caring person.", "She is a kind and care person.", "adjective agreement error"
"The football game starts at 7 PM.", "The football game starts at 7 AM.", "time error"
"I went to the store to buy milk.", "I went to the store to buy milks.", "plural error"
"She has a beautiful smile.", "She have a beautiful smile.", "subject-verb agreement error"
"He is an excellent cook.", "He is an excellent cooking.", "noun form error"
"They are planning to get married next year.", "They are planning to get marry next year.", verb form error
"The hotel room has a comfortable bed.", "The hotel room has a comfortable bad.", "spelling error"
"She is a successful businesswoman.", "She is a successful businessman.", "gender error"
"The concert starts at 8 PM.", "The concert starts at 8 AM.", "time error"
"I need to buy new shoes.", "I need to buy new shoe.", "plural error"
"She is a talented artist.", "She is a talented artis.", "spelling error"
"He always tells funny jokes.", "He always tells funy jokes.", "spelling error"
"I am drinking a cup of coffee.", "I am drinking a cup of coffees.", "plural error"
"She is a responsible employee.", "She is a responsible employer.", "word choice error"
"The book is very interesting.", "The book is very interest.", "verb form error"
"I love to listen to music.", "I love to listen to musics.", "plural error"
"She is a skilled writer.", "She is a skilled writter.", "spelling error"
"The train is scheduled to arrive at 9 PM.", "The train is scheduled to arrive at 9 AM.", "time error"
